id,calmar,pnl,max_dd,sharpe,win_rate,trade_count,avg_ttr,topN,windowDays,f1Anchor,f1Max,w2,w3,f4Boost,maxTtrDays
03d8829738df61a4e84e9fd4d414c429,597.2157,53598.92,89.75,2.2811,0.5171,52222,-0.3,10,60,100,5,0,0,1.5,30
5c36c85931747d770a69c2044e321891,589.2055,51244.63,86.97,2.1895,0.5231,59136,-0.2,20,30,100,3,0,1,1,30
fcc285804550a3c979a200ce7eda297a,587.4592,46219.79,78.68,2.2644,0.5294,55024,-0.2,20,14,500,3,0.6,1,1.5,7
7dae2efbbda774f18b38ee9678980654,586.3952,54760.18,93.38,2.4228,0.5369,57803,-0.2,5,14,500,5,0.3,0,1.5,
3cdef31e4f9e65c7176a0014c21640a1,580.2369,55509.75,95.67,2.3146,0.4724,34609,-0.2,5,60,100,3,0.3,0.5,2,
e0095a9a4bc252d413cbd26d93dd3849,553.4891,45583.43,82.36,2.1983,0.5180,62910,-0.2,20,14,20,3,0,0.5,1,14
9d4403630a3dab83a28a13f35a4ab4f1,551.7673,52814.32,95.72,2.1793,0.4726,35189,-0.2,5,60,100,3,0,0.5,1,
cde7dc5f1ea50df557f1830e3fa2094c,550.2287,52402.14,95.24,2.1825,0.5243,47482,-0.2,10,60,500,3,0.6,0,1.5,
52b002783e08e3cf197a281860a48427,529.4979,35353.94,66.77,2.4258,0.5143,42553,-0.3,5,60,500,3,0,0,2,7
2304f955717949302666a6febab6f05e,527.8928,42441.44,80.40,2.1329,0.5252,57170,-0.2,20,30,20,3,0.3,0.5,1,7
0d0c593ecc8dd6b4321ec07cccfdb89c,516.7097,43931.14,85.02,2.1090,0.5245,58695,-0.2,10,14,500,3,0,1,1,30
b664f2b250c6d96a2b19fda502addb32,503.7430,41059.51,81.51,2.3401,0.5084,46728,-0.4,10,30,500,5,0.3,0.5,1.5,3
446b32d37f233ebe0dd08d2a87eac2e1,501.4463,43662.85,87.07,2.1061,0.5184,58993,-0.2,10,30,500,3,0,1,1,30
1e7157451e22ed5929124aac55973651,497.2328,43737.07,87.96,2.0659,0.5173,59515,-0.2,10,30,500,3,0,1,1,14
96b058ad24ab7326b15d2dc9b0e2eaa4,492.1441,45719.18,92.90,2.4445,0.5405,49436,-0.2,5,14,500,5,0,0,2,
9b728929e1081012cbb9f50f0cd99329,489.8037,45657.56,93.22,2.5217,0.5418,49261,-0.2,5,14,500,3,0.6,0,1.5,
a0be53700af904a1bd562ada1d7b936a,440.8433,41143.55,93.33,2.5025,0.4761,37619,-0.2,5,60,500,3,0.6,0,1,
bec500428ce8467c8c0c28c7bc7f9c54,440.0753,41071.88,93.33,2.5041,0.4759,37632,-0.2,5,60,500,3,0.6,0,1.5,
e9aa86ebb2b745830e3ece5d19a3a050,427.9573,34675.69,81.03,2.5132,0.5217,29856,-0.4,20,14,100,5,0.3,1,1,3
583d6a4c8cea73e08541428f6b6d25ea,422.1283,35183.00,83.35,2.2246,0.5296,55485,-0.2,20,30,100,3,0.3,0.5,1,14
54cdec377b54d58987ce6dd9c75d3c8b,422.0376,36085.95,85.50,2.1571,0.5370,52011,-0.3,10,30,500,5,0,0.5,1,7
28ed6fef32253f48470ae1353f2f871c,421.9779,36080.85,85.50,2.1627,0.5371,51939,-0.3,10,30,500,5,0,0.5,1.5,7
dd24b4e1a88286e964dc38dd47f90863,374.7127,35323.98,94.27,2.3499,0.5447,31858,-0.2,20,60,100,5,0.6,1,1,7
dc6d56107be35722cc27bbc344e61ddb,355.1197,30107.74,84.78,2.2111,0.5276,54862,-0.2,20,30,500,3,0.3,0.5,1.5,14
c080c98a37f9e4c2a844112943a12909,334.5485,25089.03,74.99,2.4449,0.5037,30565,-0.4,10,14,500,5,0.6,0.5,2,3
